FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
1,Rose Namajunas,Tracy Cortez,32,30,1,Women's Flyweight,True,False
1,Tracy Cortez,Rose Namajunas,30,32,0,Women's Flyweight,True,False
2,Muslim Salikhov,Santiago Ponzinibbio,40,37,1,Welterweight,False,False
2,Santiago Ponzinibbio,Muslim Salikhov,37,40,0,Welterweight,False,False
3,Jean Silva,Drew Dober,27,35,1,Lightweight,False,False
3,Drew Dober,Jean Silva,35,27,0,Lightweight,False,False
4,Gabriel Bonfim,Ange Loosa,26,31,1,Welterweight,False,False
4,Ange Loosa,Gabriel Bonfim,31,26,0,Welterweight,False,False
5,Julian Erosa,Christian Rodriguez,34,26,1,Featherweight,False,False
5,Christian Rodriguez,Julian Erosa,26,34,0,Featherweight,False,False
6,Abdul Razak Alhassan,Cody Brundage,38,30,1,Middleweight,False,False
6,Cody Brundage,Abdul Razak Alhassan,30,38,0,Middleweight,False,False
7,Charles Johnson,Joshua Van,33,22,1,Flyweight,False,False
7,Joshua Van,Charles Johnson,22,33,0,Flyweight,False,False
8,Jasmine Jasudavicius,Fatima Kline,35,24,1,Women's Flyweight,True,False
8,Fatima Kline,Jasmine Jasudavicius,24,35,0,Women's Flyweight,True,False
9,Montel Jackson,Da'Mon Blackshear,32,29,1,Bantamweight,False,False
9,Da'Mon Blackshear,Montel Jackson,29,32,0,Bantamweight,False,False
10,Luana Santos,Mariya Agapova,24,27,1,Women's Flyweight,True,False
10,Mariya Agapova,Luana Santos,27,24,0,Women's Flyweight,True,False
11,Andre Petroski,Josh Fremd,33,30,1,Middleweight,False,False
11,Josh Fremd,Andre Petroski,30,33,0,Middleweight,False,False
12,Evan Elder,Darrius Flowers,27,29,1,Welterweight,False,False
12,Darrius Flowers,Evan Elder,29,27,0,Welterweight,False,False
13,Alex Pereira,Jiri Prochazka,36,31,1,Light Heavyweight,False,True
13,Jiri Prochazka,Alex Pereira,31,36,0,Light Heavyweight,False,True
14,Diego Lopes,Dan Ige,29,32,1,Catch Weight,False,False
14,Dan Ige,Diego Lopes,32,29,0,Catch Weight,False,False
15,Roman Dolidze,Anthony Smith,35,35,1,Light Heavyweight,False,False
15,Anthony Smith,Roman Dolidze,35,35,0,Light Heavyweight,False,False
16,Macy Chiasson,Mayra Bueno Silva,32,32,1,Women's Bantamweight,True,False
16,Mayra Bueno Silva,Macy Chiasson,32,32,0,Women's Bantamweight,True,False
17,Ian Machado Garry,Michael Page,26,37,1,Welterweight,False,False
17,Michael Page,Ian Machado Garry,37,26,0,Welterweight,False,False
18,Joe Pyfer,Marc-Andre Barriault,27,34,1,Middleweight,False,False
18,Marc-Andre Barriault,Joe Pyfer,34,27,0,Middleweight,False,False
19,Andre Fili,Cub Swanson,34,40,1,Featherweight,False,False
19,Cub Swanson,Andre Fili,40,34,0,Featherweight,False,False
20,Jean Silva,Charles Jourdain,27,28,1,Featherweight,False,False
20,Charles Jourdain,Jean Silva,28,27,0,Featherweight,False,False
21,Payton Talbott,Yanis Ghemmouri,25,29,1,Bantamweight,False,False
21,Yanis Ghemmouri,Payton Talbott,29,25,0,Bantamweight,False,False
22,Gillian Robertson,Michelle Waterson-Gomez,29,38,1,Women's Strawweight,True,False
22,Michelle Waterson-Gomez,Gillian Robertson,38,29,0,Women's Strawweight,True,False
23,Martin Buday,Andrei Arlovski,32,45,1,Heavyweight,False,False
23,Andrei Arlovski,Martin Buday,45,32,0,Heavyweight,False,False
24,Rei Tsuruya,Carlos Hernandez,22,30,1,Flyweight,False,False
24,Carlos Hernandez,Rei Tsuruya,30,22,0,Flyweight,False,False
25,Vinicius Oliveira,Ricky Simon,28,31,1,Bantamweight,False,False
