Event,Date,WinningFighter,LosingFighter,Method,WeightClass,WinningFighterBirthday,LosingFighterBirthday,ChampBoutBool,GenderBool
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024",,,,,,,,
UFC on FOX: Velasquez vs Dos Santos,"November 12, 2011",Aaron Rosa,Matt Lucas,M-DEC,Light Heavyweight,"May 28, 1983",--,False,False
UFC Live: Kongo vs Barry,"June 26, 2011",Joe Lauzon,Curt Warburton,SUB Kimura,Lightweight,"May 22, 1984",--,False,False
UFC 127: Penn vs Fitch,"February 26, 2011",Anthony Perosh,Tom Blackledge,SUB Rear Naked Choke,Light Heavyweight,"Oct 05, 1972",--,False,False
UFC 127: Penn vs Fitch,"February 26, 2011",Curt Warburton,Maciej Jewtuszko,U-DEC,Lightweight,--,"Jan 31, 1981",False,False
UFC 122: Marquardt vs Okami,"November 13, 2010",Pascal Krauss,Mark Scanlon,U-DEC,Welterweight,"Apr 19, 1987",--,False,False
UFC 120: Bisping vs Akiyama,"October 16, 2010",Spencer Fisher,Curt Warburton,U-DEC,Lightweight,"May 09, 1976",--,False,False
UFC Live: Vera vs Jones,"March 21, 2010",Brendan Schaub,Chase Gormley,KO/TKO Punches,Heavyweight,"Mar 18, 1983",--,False,False
UFC Fight Night: Maynard vs Diaz,"January 11, 2010",Chris Leben,Jay Silva,U-DEC,Middleweight,"Jul 21, 1980",--,False,False
UFC 104: Machida vs Shogun,"October 24, 2009",Stefan Struve,Chase Gormley,SUB Triangle Choke,Heavyweight,"Feb 18, 1988",--,False,False
UFC Fight Night: Diaz vs Guillard,"September 16, 2009",CB Dollaway,Jay Silva,U-DEC,Middleweight,"Aug 10, 1983",--,False,False
UFC Fight Night: Condit vs Kampmann,"April 01, 2009",Brock Larson,Jesse Sanders,SUB Rear Naked Choke,Welterweight,"Aug 23, 1977",--,False,False
UFC Fight Night: Condit vs Kampmann,"April 01, 2009",Rob Kimmons,Joe Vedepo,SUB Guillotine Choke,Middleweight,"Jan 30, 1981",--,False,False
UFC 96: Jackson vs Jardine,"March 07, 2009",Tamdan McCrory,Ryan Madigan,KO/TKO Elbows,Welterweight,"Nov 05, 1986",--,False,False
UFC 96: Jackson vs Jardine,"March 07, 2009",Brandon Vera,Michael Patt,KO/TKO Kicks,Light Heavyweight,"Oct 10, 1977",--,False,False
