Event,Date,WinningFighter,LosingFighter,Method,WeightClass,WinningFighterBirthday,LosingFighterBirthday,ChampBoutBool,GenderBool
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Rose Namajunas,Tracy Cortez,U-DEC,Women's Flyweight,"Jun 29, 1992","Dec 10, 1993",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Muslim Salikhov,Santiago Ponzinibbio,S-DEC,Welterweight,"Jun 09, 1984","Sep 26, 1986",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Jean Silva,Drew Dober,KO/TKO,Lightweight,"Dec 27, 1996","Oct 19, 1988",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Gabriel Bonfim,Ange Loosa,U-DEC,Welterweight,"Aug 20, 1997","Mar 18, 1993",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Julian Erosa,Christian Rodriguez,SUB Guillotine Choke,Featherweight,"Jul 31, 1989","Dec 17, 1997",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Abdul Razak Alhassan,Cody Brundage,CNC:No Contest,Middleweight,"Aug 11, 1985","May 16, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Charles Johnson,Joshua Van,KO/TKO Punch,Flyweight,"Jan 10, 1991","Oct 10, 2001",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Jasmine Jasudavicius,Fatima Kline,U-DEC,Women's Flyweight,"Mar 01, 1989","Jul 12, 2000",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Montel Jackson,Da'Mon Blackshear,KO/TKO Punch,Bantamweight,"Apr 24, 1992","Aug 12, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Luana Santos,Mariya Agapova,SUB Rear Naked Choke,Women's Flyweight,"Apr 16, 2000","Apr 07, 1997",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Andre Petroski,Josh Fremd,U-DEC,Middleweight,"Jun 12, 1991","Jan 15, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Evan Elder,Darrius Flowers,SUB Arm Triangle,Welterweight,"Apr 11, 1997","Aug 25, 1994",False,False
